COUNT,FOR_TEN,FOR_CATEGO,STATE,FOR_BURNS,FOR_BURN_T
856,OCL,Native forest,Qld,0,Forest not burnt
286275,OCL,Native forest,Qld,0,Forest not burnt
4133,OCL,Native forest,Qld,0,Forest not burnt
50759,OCL,Native forest,Qld,0,Forest not burnt
2506,OCL,Native forest,Qld,0,Forest not burnt
8062,OCL,Native forest,Qld,0,Forest not burnt
7104,OCL,Native forest,Qld,0,Forest not burnt
10808,OCL,Native forest,Qld,0,Forest not burnt
41,OCL,Native forest,Qld,0,Forest not burnt
871,OCL,Native forest,Qld,0,Forest not burnt
267012,PRIV,Native forest,Qld,1,Unplanned burns only
4115,PRIV,Native forest,Qld,1,Unplanned burns only
237,OCL,Native forest,Qld,0,Forest not burnt
1056,OCL,Native forest,Qld,0,Forest not burnt
4057,OCL,Native forest,Qld,0,Forest not burnt
3441396, ,Non-forest,Qld,-9, 
1991,NCR,Native forest,Qld,0,Forest not burnt
1563,NCR,Native forest,Qld,0,Forest not burnt
355444,NCR,Native forest,Qld,0,Forest not burnt
355,ND,Native forest,Qld,0,Forest not burnt
1565,OCL,Native forest,Qld,0,Forest not burnt
178,OCL,Native forest,Qld,0,Forest not burnt
26287, ,Non-forest,NT,-9, 
31355535, ,Non-forest,NT,-9, 
11635,PRIV,Native forest,NT,0,Forest not burnt
42183,PRIV,Native forest,NT,0,Forest not burnt
3425,PRIV,Native forest,NT,0,Forest not burnt
50961,PRIV,Native forest,Qld,1,Unplanned burns only
1119,ND,Native forest,NT,0,Forest not burnt
51205,PRIV,Native forest,NT,0,Forest not burnt
916,PRIV,Native forest,NT,0,Forest not burnt
41153,PRIV,Native forest,NT,0,Forest not burnt
19761,PRIV,Native forest,NT,0,Forest not burnt
19678,PRIV,Native forest,Qld,1,Unplanned burns only
61203,PRIV,Native forest,NT,0,Forest not burnt
5,PRIV,Native forest,Qld,1,Unplanned burns only
106274,PRIV,Native forest,NT,0,Forest not burnt
19396,PRIV,Native forest,Qld,0,Forest not burnt
750,OCL,Native forest,Qld,0,Forest not burnt
223,PRIV,Native forest,NT,0,Forest not burnt
20129,PRIV,Native forest,NT,0,Forest not burnt
605,OCL,Native forest,Qld,0,Forest not burnt
1193,PRIV,Native forest,NT,0,Forest not burnt
35,PRIV,Native forest,NT,0,Forest not burnt
148,OCL,Native forest,Qld,1,Unplanned burns only
3911,OCL,Native forest,Qld,1,Unplanned burns only
2,OCL,Native forest,Qld,1,Unplanned burns only
1533, ,Non-forest, ,-9, 
4,OCL,Native forest,Qld,1,Unplanned burns only
29,OCL,Native forest,Qld,1,Unplanned burns only
7750,PRIV,Native forest,Qld,1,Unplanned burns only
211,OCL,Native forest,Qld,1,Unplanned burns only
26171,OCL,Native forest,Qld,0,Forest not burnt
3,OCL,Native forest,Qld,1,Unplanned burns only
232,OCL,Native forest,Qld,1,Unplanned burns only
439891,PRIV,Native forest,Qld,0,Forest not burnt
28221,OCL,Native forest,Qld,1,Unplanned burns only
181,OCL,Native forest,Qld,0,Forest not burnt
1,LEASE,Native forest,Qld,0,Forest not burnt
431,OCL,Native forest,Qld,2,Unplanned burns only
15,OCL,Native forest,Qld,2,Unplanned burns only
38,OCL,Native forest,Qld,2,Unplanned burns only
7,OCL,Native forest,Qld,1,Unplanned burns only
934302,LEASE,Native forest,Qld,0,Forest not burnt
48544,LEASE,Native forest,Qld,0,Forest not burnt
4107,LEASE,Native forest,Qld,2,Unplanned burns only
347,LEASE,Native forest,Qld,3,Unplanned burns only
40,OCL,Native forest,Qld,3,Unplanned burns only
289,OCL,Native forest,Qld,2,Unplanned burns only
47,OCL,Native forest,Qld,1,Unplanned burns only
247943,LEASE,Native forest,Qld,0,Forest not burnt
539,LEASE,Native forest,Qld,2,Unplanned burns only
1591,OCL,Native forest,Qld,2,Unplanned burns only
1,OCL,Native forest,Qld,3,Unplanned burns only
9914,OCL,Native forest,Qld,1,Unplanned burns only
1354,OCL,Native forest,Qld,1,Unplanned burns only
52,OCL,Native forest,Qld,1,Unplanned burns only
250, ,Non-forest,Qld,-9, 
60, ,Non-forest,Qld,-9, 
849,OCL,Native forest,Qld,1,Unplanned burns only
318,PRIV,Native forest,Qld,2,Unplanned burns only
2474,OCL,Native forest,Qld,0,Forest not burnt
43262,OCL,Native forest,Qld,0,Forest not burnt
17765,OCL,Native forest,Qld,1,Unplanned burns only
9,OCL,Native forest,Qld,1,Unplanned burns only
547,OCL,Native forest,Qld,1,Unplanned burns only
9,OCL,Native forest,Qld,1,Unplanned burns only
355,OCL,Native forest,Qld,1,Unplanned burns only
5342,PRIV,Native forest,Qld,1,Unplanned burns only
2942,OCL,Native forest,Qld,1,Unplanned burns only
9,OCL,Native forest,Qld,1,Unplanned burns only
520,OCL,Native forest,Qld,1,Unplanned burns only
26410,OCL,Native forest,Qld,0,Forest not burnt
741,PRIV,Native forest,Qld,1,Unplanned burns only
1,OCL,Native forest,Qld,1,Unplanned burns only
23524,OCL,Native forest,Qld,0,Forest not burnt
202,OCL,Native forest,Qld,1,Unplanned burns only
240,ND,Native forest,Qld,0,Forest not burnt
861233,PRIV,Native forest,Qld,0,Forest not burnt
473476,PRIV,Native forest,NT,0,Forest not burnt
96,PRIV,Native forest,Qld,2,Unplanned burns only
4,OCL,Native forest,Qld,1,Unplanned burns only
71,OCL,Native forest,Qld,1,Unplanned burns only
1444,OCL,Native forest,Qld,1,Unplanned burns only
458,PRIV,Native forest,Qld,1,Unplanned burns only
15517,OCL,Native forest,Qld,1,Unplanned burns only
33,OCL,Native forest,Qld,1,Unplanned burns only
43049,PRIV,Native forest,NT,0,Forest not burnt
3,OCL,Native forest,Qld,1,Unplanned burns only
830,OCL,Native forest,Qld,2,Unplanned burns only
9463,PRIV,Native forest,Qld,1,Unplanned burns only
8,OCL,Native forest,Qld,2,Unplanned burns only
16,OCL,Native forest,Qld,2,Unplanned burns only
308474,PRIV,Native forest,NT,1,Unplanned burns only
646274, ,Non-forest,NT,-9, 
496742,PRIV,Native forest,NT,0,Forest not burnt
3656,OCL,Native forest,Qld,2,Unplanned burns only
36899,OCL,Native forest,Qld,1,Unplanned burns only
185080,PRIV,Native forest,NT,1,Unplanned burns only
16732,PRIV,Native forest,NT,1,Unplanned burns only
